filesize,avg_sourmash_time,std_sourmash_time,avg_frackmc_time,std_frackmc_time,avg_mash_time,std_mash_ime
1,143.55380630493164,1.4282099672603155,12.486467361450195,0.04080906073189583,91.28449201583862,1.2229497950668764
2,188.15834593772888,1.912518297418867,19.82236655553182,0.04229678664813355,121.92097504933675,1.1812678999756998
3,296.7039175828298,0.2681394855174333,28.621480385462444,0.24538185131048498,194.1349888642629,1.0934735769686095
4,378.1469638347626,1.1254352982379185,39.881633361180626,1.8394826227819037,244.82552456855774,0.778182709656962
5,488.99854588508606,6.254308991860064,46.92240722974142,0.5439787311726666,313.23231705029804,0.2571600245116418
